MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD (MET/CET);LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;REFERENTIE;NOTITIE_CODE;NOTITIE_OMSCHRIJVING;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME;GROEPERING_OMSCHRIJVING;GROEPERING_CODE;GROEPERING_KANAAL;GROEPERING_TYPE
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;12-04-2023;08:24:00;;8,89;+.889E+01;Normale waarde;2023024814#714VP002'T0001469275#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;26-04-2023;09:04:00;;9,65;+.965E+01;Normale waarde;2023025574#714VP002'T0001473321#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;11-05-2023;09:18:00;;15,1;+.151E+02;Normale waarde;2023025843#714VP002'T0001475499#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;25-05-2023;08:05:00;;15;+.150E+02;Normale waarde;2023026458#714VP002'T0001481065#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;15-06-2023;11:21:00;;20,1;+.201E+02;Normale waarde;2023026714#714VP002'T0001482969#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;27-06-2023;09:01:00;;22;+.220E+02;Normale waarde;2023027126#714VP002'T0001486984#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;11-07-2023;09:38:00;;21;+.210E+02;Normale waarde;2023028514#714VP002'T0001493358#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;25-07-2023;20:39:00;;17,9;+.179E+02;Normale waarde;2023029018#714VP002'T0001496983#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;15-08-2023;16:23:00;;19,8;+.198E+02;Normale waarde;2023029263#714VP002'T0001499147#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;28-08-2023;13:59:00;;18,9;+.189E+02;Normale waarde;2023030105#714VP002'T0001503668#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Dantziggat;DANTZGT;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;11-09-2023;15:12:00;;22,7;+.227E+02;Normale waarde;2023030954#714VP002'T0001507858#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;681288,275516119;5920359,91317053;;;;;;;
;Vliestroom;VLIESM;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;17-04-2023;14:09:00;;9,45;+.945E+01;Normale waarde;2023024837#714VP002'T0001470044#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;643890,614308217;5909304,23136001;;;;;;;
;Vliestroom;VLIESM;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;16-05-2023;11:27:00;;13;+.130E+02;Normale waarde;2023025866#714VP002'T0001476335#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;643890,614308217;5909304,23136001;;;;;;;
;Vliestroom;VLIESM;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;15-06-2023;12:46:00;;18,1;+.181E+02;Normale waarde;2023026745#714VP002'T0001483901#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;643890,614308217;5909304,23136001;;;;;;;
;Vliestroom;VLIESM;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;14-07-2023;11:07:00;;20,4;+.204E+02;Normale waarde;2023028539#714VP002'T0001494140#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;643890,614308217;5909304,23136001;;;;;;;
;Vliestroom;VLIESM;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;11-08-2023;09:58:00;;17,9;+.179E+02;Normale waarde;2023029294#714VP002'T0001500175#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;643890,614308217;5909304,23136001;;;;;;;
;Vliestroom;VLIESM;;;Temperatuur;T;;;;oC;;;Oppervlaktewater;OW;;;913.00.W015, Bepaling fysisch-chemische veldparameters;other:FW015;Steekbemonstering;SB;13-09-2023;13:16:00;;20,8;+.208E+02;Normale waarde;2023030971#714VP002'T0001508458#003;;;Gecontroleerd;RIKZMON_CHEMIE;;;Pomp;68;;;-150;WATSGL;25831;643890,614308217;5909304,23136001;;;;;;;
